Citra Dewi, Citra Kusuma Dewi
Nana Trianasari, 0
Siti Saadah, Siti Sa'Adah
Rumanti A.A., Augustina Asih Rumanti
Untari N. Wisesty, Untari Novia Wisesty
Shinta Y Puspitasari, Shinta Yulia Puspitasari
Dini W. Hapsari, Dini Wahjoe Hapsari
Hidayat R., Rahmat Hidayat
Wibowo E., Edy Wibowo
Darlis D., Denny Darlis
Priramadhi R.A., Rizki Ardianto Priramadhi
Rohmat Saedudin R.D., Rd. Rohmat Saedudin
Deden Witarsyah Jacob, Deden Witarsyah
Rosi M., Memoria Rosi
Caraka R.E., Rezzy Eko Caraka
Asmoro A., Anung Asmoro
Luluk Valentina Fatimah, 0
Gadang Ramantoko, 0
Savira Chika Pratiwi, 0
Kidung Kinasih, 0
Andrew B. Osmond, Andrew Brian Osmond
Hidayat R., Rahmat Hidayat
Kusumasari T.F., Tien Fabrianti Kusumasari
Lubis M., Muharman Lubis
Faisal Hasibuan, Faisal Candrasyah Hasibuan
Dody Q. Utama, Dody Qori Utama
Effendy V., Veronikha Effendy
Leonardus Wahyu Wasono Mihardjo, Leonardus W Wasono
Santoso T.I., Teguh Iman Santoso
Hidayatul Y T Sasmi, Sasmi Hidayatul Yulianing Tyas
Nisa D Angresti, Nisa Dwi Angresti
Sibaroni Y., Yuliant Sibaroni
Riza A.N. Rukmana, Riza Agung Nugraha Rukmana
Leonardus W. Wasono Mihardjo, Leonardus W Wasono
Gunawan P.H., Putu Harry Gunawan
Leonardus WW Mihardjo, Leonardus W Wasono
Gilang A., Taufiq Gilang Adhitama
Rd Rohmat Saedudin, Rd. Rohmat Saedudin
Suhal Kusairi, Suhal
Leonardus W. W. Mihardjo, Leonardus W Wasono
Ridwan A.Y., Ari Yanuar Ridwan
Yahaya Ibrahim, 0
Mohd Fadli Hussin, 0
Izham Mohamad Yusof, 0
Mohd Tajuddin Abdullah, 0
Mohd Noor Afiq Ramlee, 0
Anton Abdulbasah Kamil, 0
Muhamad Safiih Lola, 0
Nur Zafirah A. Khadar, 0
Leonardus W.W. Mihardjo, Leonardus W Wasono
Ully Yunita Nafizah, 0
Muhammad Husni Mubarok, 0
Muhammad Yorga Permana, 0
Purba Darn Kusuma, Purba Daru Kusuma
Riza A. N. Rukmana, Riza Agung Nugraha Rukmana
Leonardus W Wasono Mihardjo, Leonardus W Wasono
Leonardus W W. Mihardjo, Leonardus W Wasono
Argo Prastyo, 0
Cahyantarie Ekaputri, 0
Muhamad Reza, 0
Leonardus W. Wasono Mihardjo, Leonardus W Wasono
Suhal Kusairi, Suhal
Leonardus W.W. Mihardjo, Leonardus W Wasono
Yanu Faâ€™Rifah Riska, Riska Yanu Fa'Rifah
Leonardus W Wasono Mihardjo, Leonardus W Wasono
Deden Witarsyah Jacob, Deden Witarsyah
Leonardus W Wasono Mihardjo, Leonardus W Wasono
Ridwan A.Y., Ari Yanuar Ridwan
Suyanto Suyanto, Suyanto
Muhardi Suputra, Muhardi Saputra
R Wahjoe Witjaksono, R. Wahjoe Witjaksono
Gunawan P.H., Putu Harry Gunawan
Sita deliyana Firmialy, Sita Deliyana Firmialy
Gunawan P.H., Putu Harry Gunawan
Riza A. N. Rukmana, Riza Agung Nugraha Rukmana
Leonardus W Wasono Mihardjo, Leonardus W Wasono
Respati Wulandari, 0
Anggadwita G., Grisna Anggadwita
Rusyda H.F.S., Hana Faza Surya Rusyda
Oktaviani I.D., Ikke Dian Oktaviani
Rakhmatsyah A., Andrian Rakhmatsyah
Erfianto B., Bayu Erfianto
Priharti W., Wahmisari Priharti
Angelina Kurniati, Angelina Prima Kurniati
Salma S.A., Sheila Amalia Salma
Muslim K., Kemas Muslim Lhaksmana
Erna Maulina, 0
Erwin Permana, 0
Fajri Febrian, 0
Margo Purnomo, 0
Anang Muftiadi, 0
Achsanul Qosasi, 0
Purba Dam Kusuma, Purba Daru Kusuma
Fiky Y. Suratman, Fiky Yosef Suratman
R. D. Rohmat Saedudin, Rd. Rohmat Saedudin
Leonardus W. W. Mihardjo, Leonardus W Wasono
Muhammad Azani Hasibuan, Muhammad Azani Hs
Bayu R. Aditya, Bayu Rima Aditya
Widiyanesti S., Sri Widiyanesti
Anggadwita G., Grisna Anggadwita
Leonardus W. Wasono Mihardjo, Leonardus W Wasono
Moh. Riza Sutjipto, Mohammad Riza Sutjipto
Andrawina L., Luciana Andrawina
Arnida L. Latifah, Arnida Lailatul Latifah
Leonardus W. W. Mihardjo, Leonardus W Wasono
Leonardus W. Wasono Mihardjo, Leonardus W Wasono
Sjafrizal T., Teddy Sjafrizal
Pratami D., Devi Pratami
Suhal Kusairi, Suhal
Wisesty U.N., Untari Novia Wisesty
Nhita F., Fhira Nhita
Rizana A.F., Afrin Fauzya Rizana
Rumanti A.A., Augustina Asih Rumanti
Mohd. Tahir Ismail, 0
Anton Abdulbasah Kamil, 0
Kanis Fatama Ferdushi, 0
Suhal Kusairi, Suhal
Budiasih E., Endang Budiasih
Effendy V., Veronikha Effendy
Junaedi D., Danang Junaedi
Aditya Wisnu Wardhana, Aditya Wardhana
Darmawan I., Irfan Darmawan
Chumaidiyah E., Endang Chumaidiyah
Armi N., Nasrullah Armi
Adli Mustafa, 0
Luthful A. Kawsar, 0
Mohd Kamal Mohd Nawawi, 0
Noraida A. Ghani, 0
Ruzelan Khalid, 0
Anton A. Kamil, 0
Suyanto Suyanto, Suyanto
Anwar K., Khoirul Anwar
A. A Pramudita, Aloysius Adya Pramudita
Khairunnisa Khairunnisa, Khairunnisa
Tri Adi Sumbogo, 0
Gayes Mahestu, 0
Erwin Setiawan, Erwin Budi Setiawan
Suyanto Suyanto, Suyanto
Atmaji F.T.D., Fransiskus Tatas Dwi Atmaji
Ikhsan N., Nurul Ikhsan
Hana F. S. Rusyda, Hana Faza Surya Rusyda
Fityanul Akhyar, 0
Kanatip Prompol, 0
Isack Farady, 0
Chih-Yang Lin, 0
Amornthep Rojanasarit, 0
Pangaribuan P., Porman Pangaribuan
Aprillia B.S., Bandiyah Sri Aprillia
Chumaidiyah E., Endang Chumaidiyah
Ramdhani M., Mohamad Ramdhani
Suhartono E., Efri Suhartono
Adam K.B., Kharisma Bani Adam
Saidah S., Sofia Saidah
Priharti W., Wahmisari Priharti
Silalahi D.K., Desri Kristina Silalahi
Donni Juni Priansa, Donni Junipriansa
Siti Sa'adah, Siti Sa'Adah
Aprillia B.S., Bandiyah Sri Aprillia
Rd Rohmat Saedudin, Rd. Rohmat Saedudin
Leonardus WW. Mihardjo, Leonardus W Wasono
Cahyani N.D.W., Niken Dwi Wahyu Cahyani
Murti M.A., Muhammad Ary Murti
Leonardus W.W. Mihardjo, Leonardus W Wasono
NOFHA RINA, Nofha Rina
Leonardus W.W. Mihardjo, Leonardus W Wasono
Rosmiati M., Mia Rosmiati
Leonardus W. W. Mihardjo, Leonardus W Wasono
Aminah A.S., Ayu Siti Aminah
Perdana D., Doan Perdana
Wahidah I., Ida Wahidah Hamzah
Wajid Zulqarnain, 0
Ulani Yunus, 0
Tri Adi Sumbogo, 0
Gayes Mahestu, 0
Leonardus Ww Mihardjo, Leonardus W Wasono
Kasman Arifin, 0
Achmad Fajri Febrian, 0
Seno Andri, 0
Siti Saadah, Siti Sa'Adah
Sari P.K., Puspita Kencana Sari
Syarifuddin Syarifuddin, Syarifuddin
Leonardus Mihardjo, Leonardus W Wasono
Rizana A.F., Afrin Fauzya Rizana
Fahad Hassan, 0
M. Rehan Usman, 0
Shahzaib Hamid, 0
Christos Politis, 0
Satrya G.B., 0
M. Arslan Usman, 0
Suyanto Suyanto, Suyanto
Utami L.A., Lira Anindita Utami
Leonardus W.W. Mihardjo, Leonardus W Wasono
Rizki Priramadhi, Rizki Ardianto Priramadhi
Ajiwiguna T.A., Tri Ayodha Ajiwiguna
Qurthobi A., Ahmad Qurthobi
Ciptandi F., Fajar Ciptandi
Chandra I., Indra Chandra
Rosdiana E., Endang Rosdiana
Leonardus WW. Mihardjo, Leonardus W Wasono
Anton Abdulbasah Kamil, 0
HÃ¼seyin Ã–cal, 0
Margo Purnomo, 0
Nenden Kostini, 0
Erna Maulina, 0
Achmad Fajri Febrian, 0
Sulthoni M.A., 0
Mahardika D., 0
Akbar M.F., 0
Moelyadi M.A., 0
Rizqi M., 0
Ratri Wahyuningtas, Ratri Wahyuningtyas
Suhal Kusairi, Suhal
Suhal Kusairi, Suhal
Henrik Detjen, 0
Irawan Nurhas, 0
Stefan Geisler, 0
Nyoman Karna, Nyoman Bogi Aditya Karna
Moch Armien Syifaa Sutarjo, Moch. Armien Syifaa Sutarjo
HÃ¼seyin Ã–cal, 0
Bayu Aditya, Bayu Rima Aditya
Frini Karina Andini, 0
Tito Handoko, 0
Dodi Suryana, 0
Meyzi Heriyanto, 0
Achmad Fajri Febrian, 0
Yus Natalib, Yus Natali
Suyanto Suyanto, Suyanto
Retty Ratnawati, 0
Achmad Rudijanto, 0
Maryunani, 0
Khonsaa A. H. Subagyo, 0
Sri Sunarti, 0
Setyawati Soeharto, 0
Tita Hariyanti,0
Barri M.H., Muhammad Hablul Barri
Adytia D., Didit Adytia
Jan Pawlowski, 0
Irawan Nurhas, 0
Stefan Geisler, 0
Henri Pirkkalainen, 0
Reza M.S., 0
M.S. Abd Rahman, 0
Safat Bin Wali, 0
Pin Jern Ker, 0
Begum R.A., 0
Hannan M.A., 0
Mansor M., 0
Caraka R.E., Rezzy Eko Caraka
Nuha H., Hilal Hudan Nuha
M. Ary Murti, Muhammad Ary Murti
Leonardus W.W. Mihardjo, Leonardus W Wasono
Leonardus Wahyu Wasono Mihardjo, Leonardus W Wasono
Pradana M., Mahir Pradana
Suhal Kusairi, Suhal
Iradianty A., Aldilla Iradianty
Aditya B.R., Bayu Rima Aditya
Handayani I.P., Ismudiati Puri Handayani
Sofia Sa'Idah, Sofia Saidah
Utami A.R.I., Amaliyah Rohsari Indah Utami
Leonardus W. W. Mihardjo, Leonardus W Wasono
Vandha Widartha, Vandha Pradwiyasma Widartha
Didit Widiatmoko Soewardikoen, Didit Widiatmoko Suwardikun
Lubis M., Muharman Lubis
Mangasi Sinurat, 0
Willy Cahyadi, 0
Cia Cai Cen, 0
Lukito Cahyadi, 0
Jumadil Saputra, 0
Limega Candrasa, 0
Rico Nur Ilham, 0
Aurachman R., Rio Aurachman
Leonardus W. W. Mihardjo, Leonardus W Wasono
Utami L.A., Lira Anindita Utami
Leonardus Ww Mihardjo, Leonardus W Wasono
Nyoman Karna, Nyoman Bogi Aditya Karna
Dedik Triyanto, Dedik Nur Triyanto
Wildan P. Tresna, Wildan Panji Tresna
Sasmono S., Sudarmono
Tri Lestari, 0
Sapta Setia Darma, 0
Rudi Zulfikar, 0
Tubagus Ismail, 0
Ramadhana, Maulana Rezi Ramadhana
Faris Fathoni M., Muhammad Faris Fathoni
Hilal H. Nuha, Hilal Hudan Nuha
Jan Pawlowski, 0
Irawan Nurhas, 0
Stefan Geisler, 0
Hilman Fauzi, Hilman Fauzi Tresna Sania Putra
Won Jae Ryu, 0
Soo Young Shin, 0
Gandeva Bayu Satrya, 0
Pramudita A.A., Aloysius Adya Pramudita
Fiky Y. Suratman, Fiky Yosef Suratman
Raharjo J., Jangkung Raharjo
Rahmat B., Basuki Rahmat
Adam K.B., Kharisma Bani Adam
Yunendah Nur Fuadah, R Yunendah Nur Fu'Adah
Leonardus W. W. Mihardjo, Leonardus W Wasono
Ari Probandari, 0
Eny Lestari, 0
Retno Heru Setyorini, 0
Ismi Dwi Astuti Nurhaen, 0
Rama Ariandi, 0
Rudi Guna Pramudia, 0
Rachmadita Andreswari, 0
Farah Sherina Salma, 0
Gunawan P.H., Putu Harry Gunawan
Bayu R. Aditya, Bayu Rima Aditya
Deden W. Jacob, Deden Witarsyah
Harjupa W., Wendi Harjupa
Priharti W., Wahmisari Priharti
Sasmono S., Sudarmono
Reza Septiawan, 0
Dwidharma Priyasta, 0
Hadiyanto, 0
Chandra I., Indra Chandra
Akira Uchiyama, 0
Masaya Tashiro, 0
Ashif Aminulloh Fathnan, 0
Yuta Sugiura, 0
Hiroki Wakatsuchi, 0
Hilman Fauzi, Hilman Fauzi Tresna Sania Putra
Suyanto Suyanto, Suyanto
Sofia Sa'Idah, Sofia Saidah
Waqas Arif, 0
Gandeva Bayu Satrya, 0
Noman Shabbir, 0
Waheed A. Khan, 0
Kamran Daniel, 0
Manzoor Ellahi, 0
Muhammad Rehan Usman, 0
Hafiz Fuad Usman, 0
Hidayat R., Rahmat Hidayat
Amaliyah Rohsari I. Utami, Amaliyah Rohsari Indah Utami
Candiwan Candiwan, Candiwan
Abrar Ismardi, Abrar
Orhan Ã–zaydÄ±n, 0
Anton Abdulbasah Kamil, 0
Edmund Ntom Udemba, 0
Nuha H., Hilal Hudan Nuha
M. Rehan Usman, 0
Ali Raza, 0
Shahzaib Hamid, 0
Christos Politis, 0
Gandeva Bayu Satrya, 0
Waheed A. Khan, 0 
M. Arslan Usman, 0S
uhal Kusairi, Suhal
Soo Young Shin, 0
Gandeva Bayu Satrya, 0
Elvin Nur Furqon, 0
Chih-Yang Lin, 0
Fityanul Akhyar, 0
Utami A.R.I., Amaliyah Rohsari Indah Utami
Baizal Z.K.A., Z. K. Abdurahman Baizal
Fito Herminawan, 0
Hadiyanto, 0
Reza Septiawan, 0
Dwidharma Priyasta, 0
Himawan Bayu, 0
Suhal Kusairi, Suhal
Hilal H. Nuha, Hilal Hudan Nuha
Ranu Agastya Nugraha, 0
Sukri Syafrudin, 0
Lindung Parningotan Manik, 0
Kartika Handayani, 0
Siti Lestari, 0
Rd Rohmat Saedudin, Rd. Rohmat Saedudin
Reza M.S., 0
Hossain M.J., 0
T.M. Indra Mahlia, 0
Pin Jern Ker, 0
Hannan M.A., 0
Mansor M., 0
M.S. Hossain Lipu, 0
Farida Titikkristanti, Farida Titik Kristanti
Fityanul Akhyar, 0
Ying Liu, 0
Chih-Yang Lin, 0
Chao-Yung Hsu, 0
Timothy K. Shih, 0
Riska Yanu Farifah, Riska Yanu Fa'Rifah
Zen A.P., Adrian Permana Zen
Sintowoko D.A., Dyah Ayu Wiwid Sintowoko
Yuningsih C.R., Cucu Retno Yuningsih
Suhal Kusairi, Suhal
Maria Sugat, Maria Apsari Sugiat
Abrar Ismardi, Abrar
Hilal H. Nuha, Hilal Hudan Nuha
Maria Sugiat, Maria Apsari Sugiat
Aziz A.A., Arif Abdul Aziz
Chandra I., Indra Chandra
Romadhony A., Ade Romadhony
Ferdian E., Edward Ferdian
Muhammad Azani Hasibuan, Muhammad Azani Hs
R.D. Rohmat Saedudin, Rd. Rohmat Saedudin
Hidayat R., Rahmat Hidayat
Erwin Setiawan, Erwin Budi Setiawan
Fat'hah Noor Prawita, Fat'Hah Noor Prawita
Ghina Astri, Astri Ghina
Nugroho M.A., Muhammad Arief Nugroho
Jan M. Pawlowski, 0
Irawan Nurhas, 0
Florian Kohnen, 0
Houda Moudrik, 0
Matthias Joiko, 0
Kevin Lapinski, 0
Florian Paproth, 0
Bethaningtyas H., Hertiana Bethaningtyas Dyah Kusumaningrum
