"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract"
"Mahdzir A.A.-H.A.; Yusof N.F.M.; Helmi S.A.; Pratami D.; Aisha A.N.","Mahdzir, Ahmad Al-Hafiz Ahmad (58838621100); Yusof, Nor Fasiha Mohd (57207750690); Helmi, Syed Ahmad (55266103700); Pratami, Devi (57194872537); Aisha, Atya Nur (57191033008)","58838621100; 57207750690; 55266103700; 57194872537; 57191033008","Impact of Online Learning on Engineering Students’ Learning Motivation in Design Classes","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182981045&doi=10.37934%2faraset.37.1.151161&partnerID=40&md5=a2b6d56e0545e5280b7acdac072797da","Online learning is becoming more prevalent in the academic sector, and many institutions have changed their teaching methodologies from face-to-face learning to online learning. However, the issue is whether all students are prepared for the changes in the learning method. This paper presents a study on students’ motivation in an online learning environment of the Introduction to Engineering Design course. The first objective is to identify the differences in students’ motivations between the early and end of the semester. The is adapted from Pintrich’s Motivated Strategies for Learning Questionnaire (MSLQ). The questionnaire consists of six constructs: intrinsic motivation, extrinsic motivation, task values, control of learning, self-efficacy, and self-regulation. The data collected are analyzed using Wilcoxon Signed Ranks Test. The results show no significant difference in the overall students’ motivation between the beginning and the end of the semester (p=0.856). However, based on the six constructs, intrinsic motivation (p=0.034) and self-regulation (p=0.005) are identified to be significantly different. The second objective is to investigate the factors affecting students' online learning motivation. Responses on four items are tested using Multiple Linear Regression. The findings indicate that the lecturer’s contribution and guidance are the most significant factor influencing students’ motivation. Results from this study suggest that in conjunction with the online challenges, students establish their expectations at the beginning of the semester, and towards the end, they can adapt and act appropriately to suit the circumstances. Secondly, the lecturers' contribution and guidance are significant predictors of students’ motivation in online learning. © 2024, Semarak Ilmu Publishing. All rights reserved."
"Alwan M.H.; Hameed Z.; Mandala S.","Alwan, Maryam Hameed (57221288805); Hameed, Zainab (59240070700); Mandala, Satria (57193871656)","57221288805; 59240070700; 57193871656","Histological and Molecular Evaluation of the Antiproliferative Activity of Allium ampeloprasum Water Extract Against Oral Mucosa Cell Line (Gingival Cancer)","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199409260&doi=10.4308%2fhjb.31.5.829-835&partnerID=40&md5=6a9c3780af4d87a30901513f481ed15a","Gingival carcinoma is a malignant neoplasm affecting the oral mucosa and is associated with significant morbidity and mortality. Allium ampeloprasum var. porrum water extracts have gotten a lot of attention because of their bioactive components, such as polyphenols, flavonoids, and alkaloids, which have a variety of pharmacological activities, including antiproliferative actions. This study aimed to evaluate the histological and molecular effects of Allium ampeloprasum (leek) water extract on the proliferation of the murine gingival cancer cell line. Histological evaluation was conducted to examine morphological changes induced by extract treatment. Molecular mechanisms underlying the observed histological changes were investigated using real-time polymerase chain reaction (PCR). Expression levels of key genes associated with cell proliferation and apoptosis were assessed. Histological findings revealed a dose-dependent decrease (100, 50, 25, 12.5, and 6.25 µg/ml) in cell density and altered cell shape in the treated cell line. Also, the percentage of inhibition for the oral mucosa cell line was high, with a significant P of 0.006, in the treated group compared to the control group. Additionally, water extract has an IC50 value of 61 g/ml. The P53 fold increment of gene expression is 0.6, which means the expression level in the experimental condition is 60% higher than the control. This study provides evidence for the potential antiproliferative activity of Allium ampeloprasum water extract on the oral mucosa cell line. The observed histological changes, coupled with the modulation of key genes involved in proliferation and apoptosis, suggest that leek water extract may have therapeutic implications in managing oral cancer. © 2024, Bogor Agricultural University. All rights reserved."
"Takeuchi H.; Husen J.H.; Tun H.T.; Washizaki H.; Yoshioka N.","Takeuchi, Hironori (57203455731); Husen, Jati H. (57207911799); Tun, Hnin Thandar (57439839900); Washizaki, Hironori (8905784000); Yoshioka, Nobukazu (8105005200)","57203455731; 57207911799; 57439839900; 8905784000; 8105005200","Enterprise architecture-based metamodel for machine learning projects and its management","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198291030&doi=10.1016%2fj.future.2024.06.062&partnerID=40&md5=8228eb6640a9c849b8104ab3e22cec91","In this study, we consider projects for developing service systems using machine learning (ML) techniques. These projects involve collaboration between various stakeholders. Several types of models representing system architectures are introduced so that stakeholders can develop a common understanding of these projects. In addition, metamodels are constructed by combining ML service systems models to provide project practitioners with a holistic view of the projects. In certain cases, these metamodels need to be extended to incorporate other business models for the business–IT alignment used in enterprises. For such situations, an enterprise architecture-based metamodel and method for managing the metamodel are proposed in this study, which provide a holistic view of business–IT alignment for ML projects. We confirm the effectiveness of the proposed metamodel and management method through real examples. © 2024 The Author(s)"
"Tarwidi D.; Pudjaprasetya S.R.; Adytia D.; Subasita N.","Tarwidi, Dede (56052179900); Pudjaprasetya, Sri Redjeki (6602418897); Adytia, Didit (54580621900); Subasita, Nugrahinggil (56242867900)","56052179900; 6602418897; 54580621900; 56242867900","An efficient two-dimensional non-hydrostatic model for simulating submarine landslide-generated tsunamis","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199352049&doi=10.1016%2fj.oceaneng.2024.118750&partnerID=40&md5=54287afa7f2d6c1d9cc033e2dc02264d","In this study, a depth-integrated two-dimensional horizontal (2DH) non-hydrostatic model with a reduced two-layer system is developed to simulate tsunamis generated by submarine landslides. The present numerical algorithm, which extends the previous one-dimensional reduced two-layer non-hydrostatic scheme (NH-2LR), solves 3D incompressible Euler equations with hydrodynamic pressure distribution parameterization. This approach allows us to reduce the computational cost of the NH-2LR model, being relatively comparable to that of a one-layer model, while maintaining the accuracy of the full two-layer model. Comparison with analytical solutions demonstrates that the NH-2LR model can simulate landslide-generated waves up to a dispersion level of μ=0.4, indicating its validity in shallow to intermediate water depth areas. Validation of the NH-2LR model with experimental data provides numerical results with an error of less than 10.29%. The final simulation employs the actual topography of Palu Bay. To mimic the 2018 Palu tsunami, we apply landslide scenarios as proposed in the literature. The NH-2LR model simulates landslide-generated tsunamis in Palu Bay, and the computed wave signals at the Pantoloan tide gauge station yield an error below 20.19% compared to available field data. All assessments showed the merits of our NH-2LR model in simulating tsunami waves generated by submarine landslides. © 2024 Elsevier Ltd"
"Sa’adah A.; Saragih R.; Handayani D.","Sa’adah, Aminatus (59207835300); Saragih, Roberd (55931149800); Handayani, Dewi (57196476364)","59207835300; 55931149800; 57196476364","Optimal control design of the COVID-19 model based on Lyapunov function and genetic algorithm","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201044768&doi=10.11591%2fijece.v14i5.pp5117-5130&partnerID=40&md5=d279f415af3b2c55ed4e97b4b8f097e8","Millions of people died worldwide as a result of the coronavirus disease 2019 (COVID-19) pandemic that started in early 2020. Examining the COVID-19 susceptible-exposed-infected-recovery (SEIR) mathematical model is one approach to developing the best control scenario for this disease. The study utilized two control variables, vaccination, and therapy, to construct a control function that relied on the quadratic Lyapunov function. The control objective was to lower the number of COVID-19 infections while maintaining system stability. A genetic algorithm (GA) is used as a novel method to estimate controller parameter value to replace the previously used parameter tuning procedure. Then, a numerical simulation was carried out implementing three control scenarios, namely vaccination control only, treatment control only, and vaccination and treatment control simultaneously. Based on the results, scenario 3 (vaccination and treatment simultaneously) showed the most significant decrease: the average decrease in the exposed human population was 98.29%, and the infected human population was 98.18%. © 2024 Institute of Advanced Engineering and Science. All rights reserved."
"Kusuma P.D.","Kusuma, Purba Daru (56206181600)","56206181600","Iteration Controlled Mixture Optimizer: A New Metaheuristic and Its Application to Solve Economic Load Dispatch Problem","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196275956&partnerID=40&md5=5fd1ff1ef75f1a58ebb3391bdf978121","Metaheuristic has been utilized extensively to optimize power system. Meanwhile, the no-free-lunch (NFL) theory becomes the major consideration in the massive development of metaheuristic as there is not any ideal metaheuristic can solve all problems superiorly. Based on this problem, this work is aimed at introducing a novel metaphor-free swarm-based metaheuristic called iteration-controlled mixture optimizer (ICMO). ICMO contains three directed searches where the reference in each search is constructed by two entities. The first reference is the mixture between the finest entity and the mean of the finer entities. The second reference is the mixture between the finest entity and a randomly chosen entity. The third reference is the mixture between the finest entity and any generated entity within space. The portion between the first and second entities in each reference is controlled by the iteration. Then, ICMO is compared with five new swarm-based metaheuristics: attack leave optimization (ALO), total interaction algorithm (TIA), fully informed search algorithm (FISA), walrus optimization algorithm (WaOA), and ono-to-one based optimization (OOBO). The assessment result shows that ICMO is better than ALO, TIA, FISA, WaOA, and OOBO in 15, 13, 20, 12, and 20 functions out of 23 functions respectively. Then, ICMO is also challenged to solve the economic load dispatch (ELD) problem in the Java-Bali electricity system in Indonesia. The result shows that ICMO is competitive compared to these five metaheuristics in solving this practical problem. The result shows that the range between the best and worst metaheuristics in this problem is narrow as it represents the integer-based problem. © (2024), (International Association of Engineers). All rights reserved."
"Latifah A.L.; Hariyanto H.L.; Ismanto R.D.","Latifah, Arnida L. (55802403800); Hariyanto, Henokh Lugo (57226545999); Ismanto, Rido Dwi (58017723500)","55802403800; 57226545999; 58017723500","Effect of bathymetry data on tsunami wave ray tracing in the western Banten sea","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193231351&doi=10.1016%2fj.csr.2024.105247&partnerID=40&md5=e2c7db45495b1fe8d3f59b1e66317619","The lack of tsunami wave warning during the Anak Krakatau collapse in 2018 resulted in devastating damage to coastal areas. The tsunami wave arrived in the coastal areas approximately half an hour after the collapse. As a tsunami wave can travel abruptly, an early warning system should warn faster. However, a warning system based on a sophisticated hydrodynamic model in real-time would take time to conduct the numerical tsunami wave simulation. Hence, this study proposes a fast and reliable estimation of tsunami wave propagation through a classic ray tracing analysis. We use two ray-tracing methods to investigate the tsunami wave propagation from Anak Krakatau to the western Banten Sea. The first method follows Snell's law, considering dispersive waves, and the second assumes non-dispersive waves based on the ray tracing equations, considering the Earth's sphericity. Both methods are quantitatively evaluated by comparing the travel time measured at Anyer and Marina Jambu. This study finds that non-dispersive wave tracing performs a shorter computational time and slightly better prediction of tsunami wave propagation than dispersive-based wave tracing, with a relative absolute difference of the travel time of 17.9–26.7% in Anyer and 3.6–5.2% in Marina Jambu. This study also confirms the importance of bathymetry validity in wave ray tracing. Two regional bathymetry datasets with a mean difference of less than 5 m result in different wave ray tracing, in which one dataset does not produce the wave ray path towards the Panaitan Island. Based on bathymetric surveys in Anyer and Marina Jambu, the national bathymetry data (BATNAS) has shown its superiority to being used as a bathymetry in the ray-tracing process, with correlations of 81% and 93% in both areas compared to other available bathymetry datasets. We summarize that reliable bathymetry data and the non-dispersive ray tracing method can be used as an initial estimation of tsunami wave propagation efficiently. © 2024"
"Wibowo E.; Ulya N.; Marwoto P.; Suwandi; Suproyogi","Wibowo, Edy (37068157300); Ulya, Naily (57205062344); Marwoto, Putut (36904245100); Suwandi (57193324744); Suproyogi (59207046500)","37068157300; 57205062344; 36904245100; 57193324744; 59207046500","The dynamics of Lato Lato ball collisions","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197668354&doi=10.1088%2f1361-6552%2fad5780&partnerID=40&md5=062e94397c9839a5f248d6b0e144dae3","Lato Lato is a toy that consists of two identical solid balls that are secured together with a rope and can be used as a learning tool in physics. In this study, we examined why the Lato Lato toy uses two balls with the same mass rather than balls with different masses. The collision of the two Lato Lato balls can be considered an elastic collision. The two balls move symmetrically at the same velocity and form a semi-circular route with opposing motion directions when we use Lato Lato with the same ball mass ( m 2 = m 1 ). The angular momentum of the two balls is also the same but in opposite directions, so they cancel each other out. Hence, the two balls travel steadily when Lato Lato is performed. This condition leads to a balanced movement of the Lato Lato system and prevents it from collapsing. On the other hand, because of their disparate masses ( m 2 > m 1 ), the two balls of Lato Lato move in an imbalanced manner. A lighter ball travels farther because it moves more quickly than a heavier ball. The angular momentum of the two balls is in opposite directions but not of the same magnitude, so they do not cancel each other out. This results in unstable movement of the two balls when Lato Lato is played. Therefore, the two balls no longer collide centrally, like in Lato Lato, with the same mass, but the collision is glancing. Then, the motion of the two balls facilitates collapse easily. This work can enrich students’ understanding of collisions beyond the collisions of two objects commonly discussed in textbooks. © 2024 IOP Publishing Ltd."
"Mubaarok M.N.; Saragih T.H.; Muliadi; Indriani F.; Farmadi A.; Rizal A.","Mubaarok, Muhammad Nadim (59224828300); Saragih, Triando Hamonangan (57202789655); Muliadi (56826006800); Indriani, Fatma (57215665392); Farmadi, Andi (57445724100); Rizal, Achmad (56081149400)","59224828300; 57202789655; 56826006800; 57215665392; 57445724100; 56081149400","Comparison of the Adaboost Method and the Extreme Learning Machine Method in Predicting Heart Failure","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198920678&doi=10.35882%2fjeeemi.v6i3.440&partnerID=40&md5=164c6246a9048a0124be14fbac5f09bc","Heart disease, which is classified as a non-communicable disease, is the main cause of death every year. The involvement of experts is considered very necessary in the process of diagnosing heart disease, considering its complex nature and potential severity. Machine Learning Algorithms have emerged as powerful tools capable of effectively predicting and detecting heart diseases, thereby reducing the challenges associated with their diagnosis. Notable examples of such algorithms include Extreme Learning Machine Algorithms and Adaptive Boosting, both of which represent Machine Learning techniques adapted for classification purposes. This research tries to introduce a new approach that relies on the use of one parameter. Through careful optimization of algorithm parameters, there is a marked improvement in the accuracy of machine learning predictions, a phenomenon that underscores the importance of parameter tuning in this domain. In this research, the Heart Failure dataset serves as the focal point, with the aim of demonstrating the optimal level of accuracy that can be achieved through the use of Machine Learning algorithms. The results of this study show an average accuracy of 0.83 for the Extreme Learning Machine Algorithm and 0.87 for Adaptive Boosting, the standard deviation for both methods is “0.83±0.02” for Extreme Machine Learning Algorithm and “0.87±0.03” for Adaptive Boosting thus highlighting the efficacy of these algorithms in the context of heart disease prediction. In particular, entering the Learning Rate parameter into Adaboost provides better results when compared with the previous algorithm. Our research findings underline the supremacy of Extreme Learning Machine Algorithms and Adaptive Improvement, especially when combined with the introduction of a single parameter, it can be seen that the addition of parameters results in increased accuracy performance when compared to previous research using standard methods alone. © 2024, Jurusan Teknik Elektromedik, Politeknik Kesehatan Kemenkes Surabaya, Indonesia. All rights reserved."
"Prasetio A.; Witarsyah N.A.; Indrawati","Prasetio, Adhi (57190072732); Witarsyah, Nadiya Aulia (59119371700); Indrawati (36455846200)","57190072732; 59119371700; 36455846200","The effect of e-WOM on purchase intention in e-commerce in Indonesia through the expansion of the information adoption model","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192705440&doi=10.5267%2fj.ijdns.2024.1.017&partnerID=40&md5=ec2d33727cf35a567b7d1c3f7d4e9636","Technological advancements in Indonesia have been on the rise, and the advent of technology has brought about significant changes in various aspects of society. The integration of technology into human life has greatly enhanced various activities, making information exchange and communication more accessible. As we observe the continuous evolution of technology, it has created new business prospects for companies to harness the power of the internet in providing online shopping services that connect consumers, service providers, and intermediary traders. E-commerce has emerged as a vital platform supporting commercial transactions via the internet. Prior to making a purchase, consumers frequently turn to social media for product reviews, where electronic word of mouth enables users to share their product-buying experiences. This study seeks to investigate the impact of user-generated information through electronic word of mouth on purchase intentions within the e-commerce landscape of Indonesia, utilizing the Information Acceptance Model (IACM). Employing a causal descriptive research approach, this study targeted e-commerce users in Indonesia, with 155 respondents participating. Data collection was carried out through Google Forms, and the collected data was analyzed using SmartPLS 3. Hypothetical testing included t-tests, p-tests, and path coefficient assessments. The study's findings revealed that variables such as information quantity, information needs, attitudes toward information, information usability, and information adoption all play a significant role in influencing purchase intentions, while information quality and information credibility had no discernible impact on purchase intentions. © 2024 by the authors; licensee Growing Science, Canada."
